epoch,kl_loss,loss,reconstruction_loss
0,139.8602294921875,94671.4375,94531.578125
1,32.31877899169922,94939.9609375,94907.640625
2,14.572046279907227,91212.453125,91197.8828125
3,20.5670108795166,91609.515625,91588.9453125
4,18.64134407043457,93931.8984375,93913.2578125
5,21.534833908081055,91622.1328125,91600.6015625
6,24.599794387817383,92211.375,92186.7734375
7,28.162168502807617,91103.9296875,91075.765625
8,37.00536346435547,93630.734375,93593.7265625
9,42.34879684448242,93662.625,93620.2734375
10,39.628780364990234,95045.03125,95005.40625
11,39.81474304199219,96059.5703125,96019.7578125
12,44.265010833740234,92605.4921875,92561.2265625
13,42.89352035522461,91497.90625,91455.015625
14,47.00593566894531,91268.5625,91221.5546875
15,55.60946273803711,85876.0859375,85820.4765625
16,54.92440414428711,87221.171875,87166.25
17,43.695865631103516,95163.46875,95119.7734375
18,47.576683044433594,90856.90625,90809.328125
19,50.9808349609375,91407.640625,91356.65625
20,49.04045867919922,92777.4453125,92728.40625
21,46.20161056518555,92064.859375,92018.65625
22,43.771080017089844,94404.1328125,94360.359375
23,43.9141960144043,90301.1171875,90257.203125
24,53.8120002746582,90789.015625,90735.203125
25,50.496524810791016,87344.34375,87293.84375
26,50.338130950927734,90028.75,89978.4140625
27,44.66402816772461,86452.34375,86407.6796875
28,49.39884948730469,91863.6796875,91814.28125
29,46.89094543457031,83807.3984375,83760.5078125
30,54.667076110839844,86240.28125,86185.6171875
31,49.7562141418457,87116.0,87066.2421875
32,52.53877639770508,86354.7109375,86302.171875
33,46.73637008666992,88933.5703125,88886.8359375
34,47.78152084350586,81391.84375,81344.0625
35,50.10112380981445,88680.3828125,88630.28125
36,46.77997589111328,85621.515625,85574.734375
37,46.094181060791016,85024.40625,84978.3125
38,44.38392639160156,85935.1953125,85890.8125
39,47.5316276550293,88868.6640625,88821.1328125
40,47.57193374633789,84143.2734375,84095.703125
41,47.11939239501953,89129.921875,89082.8046875
42,50.03373718261719,88849.734375,88799.703125
43,50.81121063232422,88589.9296875,88539.1171875
44,43.79255676269531,88727.4921875,88683.703125
45,47.65064239501953,85621.234375,85573.5859375
46,45.43925094604492,87828.0546875,87782.6171875
47,45.33674621582031,87057.9140625,87012.578125
48,46.383583068847656,86376.546875,86330.1640625
49,46.41926956176758,88543.8203125,88497.3984375
